CustomerID,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status
17850,16679,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
17850,16680,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
17850,16681,1/1/2019,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,2.05,6.5,Used
17850,16682,1/1/2019,GGOEGAAB010516,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,5,17.53,6.5,Not Used
17850,16682,1/1/2019,GGOEGBJL013999,Google Canvas Tote Natural/Navy,Bags,1,16.5,6.5,Used
17850,16682,1/1/2019,GGOEGBMJ013399,Sport Bag,Bags,15,5.15,6.5,Used
17850,16682,1/1/2019,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware,15,3.08,6.5,Not Used
17850,16682,1/1/2019,GGOEGDHG014499,Google Infuser-Top Water Bottle,Drinkware,15,10.31,6.5,Clicked
17850,16682,1/1/2019,GGOEGDWC020199,Engraved Ceramic Google Mug,Drinkware,5,9.27,6.5,Used
13047,16682,1/1/2019,GGOEGGOA017399,Maze Pen,Office,52,0.98,6.5,Used
13047,16682,1/1/2019,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Office,31,1.99,6.5,Clicked
13047,16682,1/1/2019,GGOEGOXQ016399,Badge Holder,Office,31,1.99,6.5,Clicked
13047,16682,1/1/2019,GGOEYAAB031816,YouTube Men's Short Sleeve Hero Tee Black,Apparel,5,17.53,6.5,Used
13047,16684,1/1/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Clicked
13047,16684,1/1/2019,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,Used
13047,16685,1/1/2019,GGOEGAAR010714,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1,14.02,6.5,Used
13047,16685,1/1/2019,GGOEGAEQ027913,Google Women's Short Sleeve Hero Tee White,Apparel,1,14.02,6.5,Clicked
13047,16685,1/1/2019,GGOEGDWR015799,Red Shine 15 oz Mug,Drinkware,1,10.72,6.5,Not Used
13047,16687,1/1/2019,GGOEGFQB013799,Compact Selfie Stick,Lifestyle,1,9.27,6.5,Clicked
13047,16687,1/1/2019,GGOEGGOA017399,Maze Pen,Office,3,1.02,6.5,Used
13047,16687,1/1/2019,GGOEGOAQ012899,Ballpoint LED Light Pen,Office,1,2.58,6.5,Not Used
13047,16687,1/1/2019,GGOEGOAR021999,Color Changing Grip Pen,Office,3,1.55,6.5,Clicked
13047,16687,1/1/2019,GGOEGOBG023599,Colored Pencil Set,Office,1,3.08,6.5,Used
13047,16687,1/1/2019,GGOEGOLC013299,Spiral Notebook and Pen Set,Office,1,6.18,6.5,Clicked
13047,16688,1/1/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Used
13047,16689,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
12583,16692,1/1/2019,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Office,1,2.47,102.79,Used
12583,16692,1/1/2019,GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,Drinkware,26,8.72,102.79,Clicked
12583,16692,1/1/2019,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,1.64,102.79,Clicked
12583,16692,1/1/2019,GGOEYFKQ020699,YouTube Custom Decals,Office,1,1.64,102.79,Clicked
12583,16692,1/1/2019,GGOEYOCR078099,YouTube Spiral Journal with Pen,Notebooks & Journals,26,7.93,102.79,Not Used
12583,16693,1/1/2019,GGOEGATB060415,Google Women's Quilted Insulated Vest Black,Apparel,1,61.89,6.5,Clicked
12583,16693,1/1/2019,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,Drinkware,1,15.67,6.5,Clicked
12583,16694,1/1/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Not Used
12583,16695,1/1/2019,GGOEGAAJ080615,Google Men's Bike Short Sleeve Tee Charcoal,Apparel,1,16.5,6.5,Clicked
12583,16695,1/1/2019,GGOEGAAL010615,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,1,14.02,6.5,Clicked
12583,16695,1/1/2019,GGOEGAEB027814,Google Women's Short Sleeve Hero Tee Black,Apparel,1,14.02,6.5,Used
12583,16695,1/1/2019,GGOEGAEC029114,Google Women's Short Sleeve Hero Tee Sky Blue,Apparel,1,15.67,6.5,Clicked
12583,16695,1/1/2019,GGOEGAER029714,Google Women's Short Sleeve Hero Tee Red Heather,Apparel,1,15.67,6.5,Clicked
12583,16695,1/1/2019,GGOEGAFJ036214,Google Men's Pullover Hoodie Grey,Apparel,1,42.91,6.5,Clicked
12583,16695,1/1/2019,GGOEGAYC068324,Google Youth Short Sleeve T-shirt Royal Blue,Apparel,1,15.67,6.5,Clicked
12583,16695,1/1/2019,GGOEGAYH068425,Google Youth Short Sleeve T-shirt Green,Apparel,1,15.67,6.5,Not Used
12583,16696,1/1/2019,GGOEGBJR018199,Reusable Shopping Bag,Bags,3,2.89,6.5,Used
12583,16696,1/1/2019,GGOEGFSR022099,Google Kick Ball,Lifestyle,1,1.64,6.5,Clicked
12583,16696,1/1/2019,GGOEGHPA003010,Google Wool Heather Cap Heather/Navy,Headgear,1,20.62,6.5,Clicked
12583,16696,1/1/2019,GGOEGKAA019299,Switch Tone Color Crayon Pen,Office,1,1.64,6.5,Used
13748,16696,1/1/2019,GGOEGPJC019099,7&quot; Dog Frisbee,Lifestyle,1,1.24,6.5,Clicked
17850,16696,1/1/2019,GGOEGPJR018999,7&quot; Dog Frisbee,Lifestyle,1,1.24,6.5,Used
17850,16696,1/1/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Not Used
17850,16697,1/1/2019,GGOEGAAJ073414,Google Men's Short Sleeve Hero Tee Heather,Apparel,1,19.59,6.5,Clicked
17850,16697,1/1/2019,GGOEWEBB082699,Waze Mobile Phone Vent Mount,Waze,1,7.21,6.5,Used
17850,16699,1/1/2019,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,Clicked
17850,16700,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked
17850,16701,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked
17850,16702,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,Clicked
17850,16703,1/1/2019,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,Not Used
17850,16704,1/1/2019,GGOEADHB014799,Android Glass Water Bottle with Black Sleeve,Drinkware,10,13.4,6.5,Clicked
17850,16704,1/1/2019,GGOEADWQ015699,Android Rise 14 oz Mug,Drinkware,1,13.4,6.5,Clicked
17850,16704,1/1/2019,GGOEGAPB058615,Google Women's Yoga Jacket Black,Apparel,1,108.31,6.5,Used
17850,16704,1/1/2019,GGOEGBJC019999,Collapsible Shopping Bag,Bags,10,5.15,6.5,Clicked
17850,16704,1/1/2019,GGOEGHPA002910,Google Trucker Hat,Headgear,10,22.69,6.5,Clicked
17850,16704,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,256.88,6.5,Used
17850,16704,1/1/2019,GGOEYOBR078599,YouTube Luggage Tag,Fun,4,9.27,6.5,Used
17850,16706,1/1/2019,GGOEGAAB010517,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,14.02,6.5,Clicked
17850,16710,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,28.78,Clicked
15100,16712,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked
17850,16713,1/1/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Used
17850,16715,1/1/2019,GGOEYAFB073115,YouTube Men's Fleece Hoodie Black,Apparel,1,57.76,6.5,Used
17850,16716,1/1/2019,GGOEGAAJ073415,Google Men's Short Sleeve Hero Tee Heather,Apparel,1,19.59,6.5,Clicked
17850,16716,1/1/2019,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,2.05,6.5,Clicked
17850,16717,1/1/2019,GGOEGBJR018199,Reusable Shopping Bag,Bags,4,3.61,6.5,Used
17850,16717,1/1/2019,GGOEGDWC020199,Engraved Ceramic Google Mug,Drinkware,4,9.27,6.5,Clicked
17850,16719,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Not Used
17850,16720,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
17850,16720,1/1/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked
17850,16721,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked
17850,16722,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
17850,16722,1/1/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Used
17850,16723,1/1/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Used
17850,16723,1/1/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Not Used
17850,16724,1/1/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked
17850,16725,1/1/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked
15291,16726,1/1/2019,GGOEGAEC029114,Google Women's Short Sleeve Hero Tee Sky Blue,Apparel,1,15.67,6.5,Used
15291,16726,1/1/2019,GGOEGAPB058214,Google Women's Lightweight Microfleece Jacket,Apparel,1,61.89,6.5,Clicked
17850,16727,1/1/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked
17850,16731,1/1/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Clicked
14688,16732,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked
14688,16733,1/1/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked
14688,16736,1/1/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used
14688,16737,1/2/2019,GGOEGHPJ080110,Google 5-Panel Cap,Headgear,2,19.59,6.5,Clicked
14688,16738,1/2/2019,GGOEAKDH019899,Windup Android,Lifestyle,2,3.29,6.5,Clicked
14688,16739,1/2/2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Not Used
14688,16740,1/2/2019,GGOENEBJ081899,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,1,205.3,8.7,Used
14688,16740,1/2/2019,GGOENEBQ081699,Nest Protect Smoke + CO White Battery Alarm - CA,Nest-Canada,3,107.29,8.7,Clicked
14688,16741,1/2/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked
14688,16742,1/2/2019,GGOEGBRD079699,25L Classic Rucksack,Backpacks,1,103.15,6.5,Clicked
14688,16742,1/2/2019,GGOEGBRJ037299,Google Alpine Style Backpack,Bags,1,103.15,6.5,Used
14688,16742,1/2/2019,GGOEGFKA022299,Keyboard DOT Sticker,Office,5,1.55,6.5,Not Used
14688,16742,1/2/2019,GGOEGGOA017399,Maze Pen,Office,26,0.98,6.5,Not Used
14688,16742,1/2/2019,GGOEGHPJ080010,Google French Terry Cap,Headgear,2,19.59,6.5,Clicked
14688,16742,1/2/2019,GGOEGHPJ080110,Google 5-Panel Cap,Headgear,2,19.59,6.5,Used
14688,16743,1/2/2019,GGOENEBQ081799,Nest Protect Smoke + CO White Wired Alarm - CA,Nest-Canada,3,107.29,8.7,Not Used
14688,16744,1/2/2019,GGOENEBJ081899,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,1,205.3,8.7,Clicked
14688,16745,1/2/2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked
14688,16747,1/2/2019,GGOEGOAB021499,Metal Texture Roller Pen,Office,1,29.91,6.5,Clicked
17809,16747,1/2/2019,GGOEGOBG023599,Colored Pencil Set,Office,1,3.08,6.5,Clicked
15311,16748,1/2/2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Not Used
15311,16749,1/2/2019,GGOEGALP036317,Google Women's Long Sleeve Tee Lavender,Apparel,1,24.75,6.5,Not Used
15311,16749,1/2/2019,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,2.05,6.5,Not Used
15311,16749,1/2/2019,GGOEYFKQ020699,YouTube Custom Decals,Office,1,2.05,6.5,Used
15311,16750,1/2/2019,GGOEGADB057316,Google Men's Lightweight Microfleece Jacket Black,Apparel,1,61.89,6.5,Not Used
15311,16751,1/2/2019,GGOENEBB081499,Nest Cam Indoor Security Camera - CA,Nest-Canada,2,153.71,8.7,Used
15311,16751,1/2/2019,GGOENEBJ081899,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,2,205.3,8.7,Clicked
15311,16752,1/2/2019,GGOEGAEC033115,Google Men's Long Sleeve Raglan Ocean Blue,Apparel,1,25.78,6.5,Clicked
